service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
s_merged_998799,20110905,20111030,0,0,0,0,0,0,1
mutf,20110905,20111030,1,1,0,1,1,0,0
a_merged_998796,20110905,20111030,0,0,0,0,0,1,0
tf_merged_998805,20111031,20111218,0,0,0,1,1,0,0
muwtf_merged_998798,20110905,20111030,1,1,1,1,1,0,0
muw_merged_998802,20111031,20111218,1,1,1,0,0,0,0
a_merged_998801,20111031,20111218,0,0,0,0,0,1,0
s_merged_998804,20111031,20111218,0,0,0,0,0,0,1
tf_merged_998800,20110905,20111030,0,0,0,1,1,0,0
w,20110905,20111030,0,0,1,0,0,0,0
muw_merged_998797,20110905,20111030,1,1,1,0,0,0,0
muwtf_merged_998803,20111031,20111218,1,1,1,1,1,0,0
