stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1000,1000,"FREDERICK / KING",,  43.449665, -80.487205,,,0,
1001,1001,"FREDERICK / IRVIN",,  43.452326, -80.484192,,,0,
1002,1002,"FREDERICK / OTTO",,  43.452995, -80.482913,,,0,
1003,1003,"FREDERICK / SAMUEL",,  43.454826, -80.479511,,,0,
1004,1004,"FREDERICK / MERNER",,  43.456210, -80.476903,,,0,
1005,1005,"UNION / DOVER",,  43.463995, -80.509249,,,0,
1006,1006,"FREDERICK STREET MALL",,  43.457923, -80.473576,,,0,
1007,1007,"FREDERICK / ANN",,  43.459283, -80.469794,,,0,
1008,1008,"FREDERICK / BRUCE",,  43.459993, -80.467513,,,0,
1009,1009,"FREDERICK / LOIS",,  43.460916, -80.464637,,,0,
1010,1010,"FREDERICK / RIVER",,  43.461830, -80.461662,,,0,
1012,1012,"RIVER / MANCHESTER",,  43.458463, -80.454177,,,0,
1013,1013,"RIVER / HALLIWELL",,  43.457472, -80.450428,,,0,
1014,1014,"RIVER / HICKSON",,  43.454284, -80.446675,,,0,
1015,1015,"RIVER / PATH TO SECORD",,  43.452839, -80.445724,,,0,
1016,1016,"RIVER / OTTAWA",,  43.451231, -80.444688,,,0,
1017,1017,"RIVER / STANLEY PARK MALL",,  43.448703, -80.443141,,,0,
1018,1018,"RIVER / CONWAY",,  43.447276, -80.442388,,,0,
1019,1019,"RIVER / BRADLEY",,  43.445723, -80.441426,,,0,
1026,1026,"OLDFIELD / BATTERSWOOD",,  43.450825, -80.429724,,,0,
1027,1027,"Oldfield / Casey",,  43.453000, -80.430717,,,0,
1030,1030,"OTTAWA / OLDFIELD",,  43.455386, -80.432524,,,0,
1038,1038,"FAIRWAY / IDLE CREEK",,  43.441428, -80.418085,,,0,
1039,1039,"FAIRWAY / OLD CHICOPEE",,  43.436770, -80.426298,,,0,
1041,1041,"FAIRWAY / MORGAN",,  43.430207, -80.431957,,,0,
1042,1042,"FAIRWAY / KING",,  43.428821, -80.432155,,,0,
1043,1043,"FAIRWAY / KING",,  43.427546, -80.432883,,,0,
1044,1044,"FAIRWAY / WABANAKI",,  43.422714, -80.437215,,,0,
1045,1045,"FAIRWAY / FAIRVIEW PARK",,  43.421823, -80.439089,,,0,
1046,1046,"FAIRVIEW PARK TERMINAL",,  43.422831, -80.440846,,,0,place_FVM
1047,1047,"FAIRWAY / WALMART",,  43.424007, -80.434683,,,0,
1048,1048,"FAIRWAY / KING",,  43.428883, -80.431858,,,0,
1049,1049,"FAIRWAY / MORGAN",,  43.430448, -80.431658,,,0,
1050,1050,"FAIRWAY / THALER",,  43.432222, -80.429911,,,0,
1052,1052,"FAIRWAY / RIVER",,  43.434718, -80.427955,,,0,
1053,1053,"FAIRWAY / FAIRWAY",,  43.441445, -80.417826,,,0,
1057,1057,"Ottawa / Lackner",,  43.456410, -80.432057,,,0,
1059,1059,"OLDFIELD / JADESTONE",,  43.452388, -80.430785,,,0,
1060,1060,"OLDFIELD / DRUMOAK",,  43.450771, -80.429873,,,0,
1061,1061,"OLDFIELD / SPRINGMOUNT",,  43.448874, -80.426888,,,0,
1062,1062,"OLDFIELD / LACKNER",,  43.449797, -80.424073,,,0,
1068,1068,"RIVER / BRADLEY",,  43.445866, -80.441338,,,0,
1069,1069,"RIVER / CONWAY",,  43.447185, -80.442154,,,0,
1070,1070,"RIVER / STANLEY PARK MALL",,  43.449523, -80.443344,,,0,
1071,1071,"RIVER / OTTAWA",,  43.451402, -80.444563,,,0,
1072,1072,"RIVER / PATH TO SECORD",,  43.453353, -80.445830,,,0,
1073,1073,"RIVER / HALLIWELL",,  43.457679, -80.450414,,,0,
1074,1074,"RIVER / MANCHESTER",,  43.458799, -80.454866,,,0,
1076,1076,"FREDERICK / RIVER",,  43.461921, -80.461958,,,0,
1077,1077,"FREDERICK / LOIS",,  43.461176, -80.464350,,,0,
1079,1079,"FREDERICK / BRUCE",,  43.460067, -80.467858,,,0,
1080,1080,"FREDERICK / EDNA",,  43.458514, -80.472755,,,0,
1081,1081,"FREDERICK / ANN",,  43.459366, -80.470090,,,0,
1082,1082,"FREDERICK / FILBERT",,  43.456523, -80.476616,,,0,
1083,1083,"UNION / DEVITT",,  43.463615, -80.509811,,,0,
1084,1084,"FREDERICK / GORDON",,  43.454783, -80.479894,,,0,
1085,1085,"FREDERICK / LANCASTER",,  43.453506, -80.482377,,,0,
1086,1086,"FREDERICK / IRVIN",,  43.452399, -80.484438,,,0,
1088,1088,"FREDERICK / KING",,  43.449909, -80.487401,,,0,
1090,1090,"UNIVERSITY / SEAGRAM",,  43.469279, -80.538619,,,0,
1091,1091,"UNION / WEBER",,  43.465072, -80.506287,,,0,
1092,1092,"UNION / WEBER",,  43.465173, -80.505466,,,0,
1093,1093,"COLUMBIA / PHILLIP",,  43.476816, -80.540812,,,0,
1094,1094,"COLUMBIA / U.W. OPTOMETRY",,  43.475516, -80.544382,,,0,
1095,1095,"Ira Needles / Victoria",,  43.429185, -80.553306,,,0,
1096,1096,"COLUMBIA / VILLAGE 1",,  43.473156, -80.550990,,,0,
1097,1097,"COLUMBIA / RON EYDT VILLAGE",,  43.471570, -80.555391,,,0,
1098,1098,"COLUMBIA / OLD POST",,  43.470128, -80.559605,,,0,
1099,1099,"COLUMBIA / BEECHLAWN",,  43.469592, -80.561084,,,0,
1100,1100,"COLUMBIA / FISCHER-HALLMAN",,  43.466991, -80.568294,,,0,
1101,1101,"IRA NEEDLES / VICTORIA",,  43.429414, -80.553171,,,0,
1102,1102,"COLUMBIA / GATESTONE",,  43.465334, -80.572942,,,0,
1104,1104,"COLUMBIA / CAVENDISH",,  43.464006, -80.576783,,,0,
1105,1105,"COLUMBIA / ERBSVILLE",,  43.462463, -80.580775,,,0,
1106,1106,"ERBSVILLE / WILLOW WOOD",,  43.465168, -80.584193,,,0,
1107,1107,"LAURELWOOD / ERBSVILLE",,  43.471456, -80.592470,,,0,
1108,1108,"LAURELWOOD / BIRCHMOUNT",,  43.472751, -80.589507,,,0,
1109,1109,"LAURELWOOD / BROOKMILL",,  43.472042, -80.585098,,,0,
1110,1110,"LAURELWOOD / BEAVER CRK CR",,  43.471615, -80.581589,,,0,
1111,1111,"LAURELWOOD / BEAVER CRK RD",,  43.472228, -80.579397,,,0,
1112,1112,"LAURELWOOD / LAUREL GATE",,  43.474317, -80.574585,,,0,
1113,1113,"PATH TO LAUREL GATE",,  43.472548, -80.571123,,,0,
1114,1114,"FISCHER-HALLMAN / GATESTONE",,  43.470677, -80.568997,,,0,
1115,1115,"FISCHER-HALLMAN / COLUMBIA",,  43.468554, -80.567133,,,0,
1116,1116,"COLUMBIA / FISCHER-HALLMAN",,  43.467987, -80.564974,,,0,
1117,1117,"COLUMBIA / BEECHLAWN",,  43.469091, -80.561788,,,0,
1118,1118,"COLUMBIA / OLD POST",,  43.469858, -80.559694,,,0,
1119,1119,"COLUMBIA / RON EYDT VILLAGE",,  43.471381, -80.555467,,,0,
1120,1120,"COLUMBIA / VILLAGE 1",,  43.473163, -80.550483,,,0,
1121,1121,"CHESAPEAKE / CHESAPEAKE",,  43.510993, -80.513805,,,0,
1122,1122,"U.W. -  B.C. MATTHEWS HALL",,  43.474187, -80.545443,,,0,
1123,1123,"U.W. -  DAVIS CENTRE",,  43.472730, -80.541226,,,0,
1124,1124,"U.W. -  ENGINEERING",,  43.469382, -80.539409,,,0,
1125,1125,"CONESTOGA MALL TERMINAL",,  43.498025, -80.528566,,,0,place_CML
1126,1126,"CONESTOGA MALL TERMINAL",,  43.498289, -80.529109,,,0,place_CML
1127,1127,"CONESTOGA MALL TERMINAL",,  43.498036, -80.528999,,,0,place_CML
1128,1128,"CONESTOGA MALL TERMINAL",,  43.498071, -80.528838,,,0,place_CML
1129,1129,"CONESTOGA MALL TERMINAL",,  43.498070, -80.528418,,,0,place_CML
1130,1130,"CONESTOGA MALL TERMINAL",,  43.498035, -80.528777,,,0,place_CML
1131,1131,"NORTHFIELD / KING",,  43.501631, -80.533932,,,0,
1132,1132,"NORTHFIELD / COLBY",,  43.500294, -80.537430,,,0,
1133,1133,"CHESAPEAKE / SEAWIND",,  43.510669, -80.513894,,,0,
1134,1134,"NORTHFIELD / PARKSIDE",,  43.497320, -80.545678,,,0,
1135,1135,"NORTHFIELD / WEBER",,  43.496172, -80.548989,,,0,
1136,1136,"NORTHFIELD / WEBER",,  43.495584, -80.550713,,,0,
1137,1137,"NORTHFIELD / NORTHGATE",,  43.494480, -80.553763,,,0,
1138,1138,"NORTHFIELD / SKYLARK",,  43.493625, -80.556182,,,0,
1139,1139,"NORTHLAKE / BLACK OAK",,  43.494799, -80.557138,,,0,
1140,1140,"NORTHLAKE / GREEN MEADOW",,  43.494826, -80.559549,,,0,
1141,1141,"NORTHLAKE / PINE ISLAND",,  43.493955, -80.562524,,,0,
1142,1142,"HIGHPOINT / CORNERBROOK",,  43.493243, -80.564755,,,0,
1143,1143,"HIGHPOINT / WINTERGREEN",,  43.491189, -80.564523,,,0,
1144,1144,"HIGHPOINT / ROLLING HILLS",,  43.488430, -80.563318,,,0,
1145,1145,"HIGHPOINT / DOGWOOD",,  43.486818, -80.563318,,,0,
1146,1146,"HIGHPOINT / TOLL GATE",,  43.484941, -80.559992,,,0,
1147,1147,"TOLL GATE / GLEN FORREST",,  43.487188, -80.556674,,,0,
1148,1148,"GLEN FORREST / TEAKWOOD",,  43.486141, -80.553578,,,0,
1149,1149,"CEDARBRAE / GLEN FORREST",,  43.485665, -80.551565,,,0,
1150,1150,"CEDARBRAE / HEASLEY PARK",,  43.487946, -80.550089,,,0,
1151,1151,"CEDARBRAE / GLEN MANOR",,  43.488773, -80.549712,,,0,
1152,1152,"CEDARBRAE / SPRUCEHILL",,  43.489613, -80.548061,,,0,
1153,1153,"PARKSIDE / GLENELM",,  43.490196, -80.545175,,,0,
1154,1154,"PARKSIDE / WEBER",,  43.492589, -80.544625,,,0,
1155,1155,"ALBERT / WEBER",,  43.491552, -80.537559,,,0,
1156,1156,"ALBERT / LONGWOOD",,  43.490533, -80.539508,,,0,
1157,1157,"ALBERT / QUIET",,  43.487633, -80.541571,,,0,
1158,1158,"HAZEL / WILDWOOD",,  43.485723, -80.539087,,,0,
1159,1159,"HAZEL / TAMARACK",,  43.485233, -80.536955,,,0,
1160,1160,"HAZEL / SMALLWOOD",,  43.483646, -80.535139,,,0,
1161,1161,"HAZEL / AUSTIN",,  43.481575, -80.533084,,,0,
1162,1162,"WATERLOO C.I.",,  43.478946, -80.531039,,,0,place_WCI
1163,1163,"HAZEL / HICKORY",,  43.477898, -80.530219,,,0,
1164,1164,"HICKORY / KING",,  43.478033, -80.525668,,,0,
1165,1165,"KING / UNIVERSITY",,  43.476319, -80.525075,,,0,
1166,1166,"UNIVERSITY / KING",,  43.476025, -80.525782,,,0,place_KUN
1167,1167,"LAURIER",,  43.475513, -80.528259,,,0,
1168,1168,"HAZEL / HICKORY",,  43.477880, -80.530034,,,0,
1171,1171,"WATERLOO C.I.",,  43.479569, -80.531344,,,0,place_WCI
1172,1172,"HAZEL / AUSTIN",,  43.481538, -80.532924,,,0,
1173,1173,"HAZEL / SMALLWOOD",,  43.483771, -80.535095,,,0,
1174,1174,"HAZEL / BLYTHWOOD",,  43.485671, -80.537294,,,0,
1175,1175,"HAZEL / ALBERT",,  43.485734, -80.539433,,,0,
1176,1176,"ALBERT / GREENBRIER",,  43.488146, -80.541394,,,0,
1177,1177,"ALBERT / LONGWOOD",,  43.490541, -80.539174,,,0,
1178,1178,"WEBER / ALBERT",,  43.492038, -80.537641,,,0,
1179,1179,"PARKSIDE / WEBER",,  43.492652, -80.544798,,,0,
1180,1180,"Ira Needles / Highland",,  43.423466, -80.552844,,,0,
1181,1181,"CEDARBRAE / MOUNT ANNE",,  43.490028, -80.546104,,,0,
1182,1182,"CEDARBRAE / SPRUCEHILL",,  43.489819, -80.547738,,,0,
1183,1183,"CEDARBRAE / HEASLEY PK TRAIL",,  43.488010, -80.550249,,,0,
1184,1184,"CEDARBRAE / GLEN FORREST",,  43.485674, -80.551714,,,0,
1185,1185,"GLEN FORREST / BROOKHAVEN",,  43.487040, -80.555426,,,0,
1186,1186,"TOLL GATE / GLEN FORREST",,  43.487297, -80.556710,,,0,
1187,1187,"TOLL GATE / DOGWOOD",,  43.486153, -80.559081,,,0,
1188,1188,"TOLL GATE / HIGHPOINT",,  43.485102, -80.559669,,,0,
1189,1189,"HIGHPOINT / DOGWOOD",,  43.486709, -80.563096,,,0,
1190,1190,"HIGHPOINT / ROLLING HILLS",,  43.489140, -80.562992,,,0,
1191,1191,"HIGHPOINT / NORTHFIELD",,  43.491089, -80.564264,,,0,
1193,1193,"NORTHLAKE / HIGHPOINT",,  43.493619, -80.563961,,,0,
1194,1194,"NORTHLAKE / GREEN MEADOW",,  43.494709, -80.559538,,,0,
1195,1195,"NORTHLAKE / SKYLARK",,  43.494509, -80.556657,,,0,
1196,1196,"NORTHFIELD / SKYLARK",,  43.493525, -80.555935,,,0,
1197,1197,"NORTHFIELD / NORTHGATE",,  43.494353, -80.553554,,,0,
1198,1198,"NORTHFIELD / WEBER",,  43.495643, -80.549710,,,0,
1199,1199,"NORTHFIELD / WEBER",,  43.496232, -80.548259,,,0,
1200,1200,"NORTHFIELD / PARKSIDE",,  43.496944, -80.546213,,,0,
1203,1203,"Ira Needles / Highland",,  43.423491, -80.552556,,,0,
1204,1204,"DAVENPORT / NORTHFIELD",,  43.502516, -80.528074,,,0,
1205,1205,"DAVENPORT / OLD ABBEY",,  43.499940, -80.525620,,,0,
1206,1206,"DAVENPORT / NORTHFIELD",,  43.503138, -80.528267,,,0,
1207,1207,"DAVENPORT / NORTHFIELD",,  43.503915, -80.528718,,,0,
1208,1208,"FROBISHER / DAVENPORT",,  43.505357, -80.529214,,,0,
1209,1209,"151 FROBISHER",,  43.506055, -80.527997,,,0,
1210,1210,"FROBISHER / MCMURRAY",,  43.507085, -80.526702,,,0,
1211,1211,"HIGHLAND / WESTFOREST",,  43.424982, -80.544442,,,0,
1212,1212,"KRAUS / NORTHFIELD",,  43.501473, -80.530618,,,0,
1213,1213,"COLUMBIA / LADYSLIPPER",,  43.449676, -80.586500,,,0,
1214,1214,"COLUMBIA / LADYSLIPPER",,  43.449369, -80.586771,,,0,
1215,1215,"MCMURRAY / NORTHLAND",,  43.508940, -80.528472,,,0,
1216,1216,"MCMURRAY / BATHURST",,  43.511001, -80.530760,,,0,
1217,1217,"BATHURST / RANKIN",,  43.510239, -80.533952,,,0,
1218,1218,"RUPERT / BATHURST",,  43.508971, -80.536597,,,0,
